title,genre,release,rated,value,budget,opening,domestic,worldwide,ratio,zrating,zbudget,zopening,ztotal,compound,tweet_count
#PeterRabbit,Adventure,20180209,PG,57.0,50000000,25010928,93433524,119633524,0.50021856,-0.07207017321861578,-0.016401434620561834,0.14451879666293815,50.222421985486704,0.23882800000000004,100
#AWrinkleinTime,Adventure,20180309,TV-PG,57.0,103000000,33123609,33123609,39423609,0.3215884368932039,-0.07207017321861578,0.8801098764465846,0.3822802062765714,33.7314438051015,0.38944,100
#DespicableMe3,Adventure,20170630,PG,57.33,75000000,72434025,264624300,1034542646,0.9657870000000001,-0.05570561553824208,0.4064812592790355,1.5343654319446731,99.99820650763014,0.4210839999999999,100
#RomanJIsraelEsq,Drama,20171117,PG-13,57.67,22000000,61999,11962712,12039067,0.0028181363636363642,-0.038845162170584084,-0.4900300517881109,-0.5866688991666468,-1.4203993759283522,0.10177209302325581,43
#TheMummy,Adventure,20170609,PG-13,58.33,195000000,31668375,80101125,410333326,0.16240192307692308,-0.006116046809836734,2.436318189997103,0.33963111318913386,19.34965667725784,0.21443,100
#MurderontheOrientExpress,Drama,20171110,PG-13,58.67,55000000,28681472,102826543,349213586,0.5214813090909091,0.01074440655782125,0.06817510415935764,0.25209281756784785,52.73123605494378,0.027327,100
#WolfWarrior2,Action,20170727,NOT RATED,59.0,29700000,219022,2721100,861434171,0.007374478114478116,0.02710896423819493,-0.3597821820670349,-0.5820669667325029,-0.7593593398460344,0.19296666666666665,36
#12Strong,Drama,20180119,R,59.33,35000000,15815025,45304911,59282395,0.4518578571428571,0.04347352191856861,-0.27013105096032025,-0.12498900968988635,44.709150165864195,0.28565199999999996,100
#TheCommuter,Action,20180111,PG-13,59.67,30000000,13701452,36317285,86290783,0.4567150666666666,0.0603339752862266,-0.3547075897402397,-0.1869322927798187,45.003268466653026,0.053096000000000004,100
#TheGreatestShowman,Musical,20171220,PG,60.67,84000000,8805843,167614558,388714558,0.10483146428571427,0.10992354401463196,0.5587190290828905,-0.3304097568582398,10.490969487952473,0.260788,100
#RedSparrow,Thriller/Suspense,20180302,R,60.67,69000000,16853422,31471006,83271006,0.2442524927536232,0.10992354401463196,0.3049894127431321,-0.09455631617481187,24.65104959977046,0.05287700000000001,100
#Life,Thriller/Suspense,20170324,R,62.33,58000000,12501936,30234022,101003310,0.2155506206896552,0.19224222810378466,0.11892102742730933,-0.2220869617498062,21.422051400996995,0.14268599999999998,100
#TheZookeepersWife,Drama,20170331,PG-13,62.67,20000000,3288835,17445186,24522140,0.16444175,0.20910268147144265,-0.5238606673000786,-0.4920987963914954,15.145219421388376,-0.06328235294117647,17
#TheForeigner,Action,20171013,R,62.67,35000000,13113024,34393507,140788326,0.3746578285714286,0.20910268147144265,-0.27013105096032025,-0.2041775746707412,36.9963993383125,0.41734999999999994,100
#TheFateoftheFurious,Action,20170414,PG-13,63.0,250000000,98786705,225764765,1237466026,0.39514682,0.2254672391518163,3.3666601165762167,2.3066933891140717,47.720196133956186,0.25147500000000006,28
#DeathWish,Action,20180302,R,63.0,30000000,13010267,23856431,28306431,0.4336755666666667,0.2254672391518163,-0.3547075897402397,-0.20718911292396086,42.82393809023032,0.012789000000000005,100
#FreeFire,Action,20170421,R,65.0,10000000,994430,1799322,3793739,0.09944299999999999,0.32464637660862705,-0.6930137448599176,-0.559341791281171,8.457249049186366,0.09475789473684211,76
