title,genre,release,rated,value,budget,opening,domestic,worldwide,ratio,zrating,zbudget,zopening,ztotal
#ThankYouforYourService,Drama,20171027,R,70.0,20000000,3817700,9479390,9718331,0.190885,0.574296948385898,-0.5238606673000786,-0.47659914986338536,-0.3301070186409514
#Hostiles,Western,20171222,R,70.33,55000000,22849,29614666,30801855,0.0004154363636363636,0.5906731878306101,0.06817510415935764,-0.5878162830199467,-0.5155379649590166
#mother,Thriller/Suspense,20170913,R,70.33,33000000,7534673,17800004,42558972,0.22832342424242424,0.5906731878306101,-0.303961666472288,-0.3676644166998584,0.23635296068587802
#EarlyMan,Adventure,20180216,PG,70.67,50000000,3190525,8030418,37017343,0.0638105,0.6075456769554652,-0.016401434620561834,-0.4949800047342265,-0.20738426713354957
#CaptainUnderpantsTheFirstEpicMovie,Adventure,20170602,PG,72.33,38000000,23851539,73921000,123261024,0.6276720789473684,0.689923123859169,-0.21938512769236856,0.1105401448546715,2.5746345227182488
#T2Trainspotting,Drama,20170317,R,73.0,18000000,170575,2402004,42074024,0.009476388888888888,0.7231718524287364,-0.5576912828120464,-0.5834868212801614,-0.9730639062769663
#TheBeguiled,Western,20170623,R,73.0,10500000,229292,10576669,28039038,0.021837333333333334,0.7231718524287364,-0.6845560909819256,-0.5817659799592363,-1.0594041984716618
#AlltheMoneyintheWorld,Thriller/Suspense,20171221,R,73.33,50000000,5584684,25076269,53733187,0.11169368,0.7395480918734485,-0.016401434620561834,-0.4248134816478181,0.20860073395725037
#BandAid,Comedy,20170602,R,73.33,10000000,29013,248370,248370,0.0029013,0.7395480918734485,-0.6930137448599176,-0.5876356323412305,-1.1200330176689302
#TheFounder,Drama,20170120,PG-13,73.67,15000000,3404102,12786243,18301418,0.22694013333333332,0.7564205809983037,-0.6084372060799981,-0.48872062283802586,-0.14863747075774614
#Ballerina,Adventure,20170825,N/A,74.0,30000000,4730038,21858070,96923070,0.15766793333333334,0.7727968204430158,-0.3547075897402397,-0.44986091512642445,-0.008628799550072785
#GameNight,Comedy,20180223,R,74.0,37000000,17005332,45004023,69608622,0.4596035675675676,0.7727968204430158,-0.23630043544835244,-0.09010423236498291,1.7350986229674004
#AmericanMade,Thriller/Suspense,20170929,R,74.33,50000000,16776390,51342000,135581390,0.3355278,0.7891730598877279,-0.016401434620561834,-0.09681392212595889,1.5857271810152482
#GirlsTrip,Comedy,20170721,R,74.67,28000000,31201920,115108515,140798808,1.1143542857142856,0.8060455490125832,-0.3885382052522075,0.3259605401293368,4.412491281161906
