title,genre,release,value,budget,opening,domestic,worldwide,ratio
The Hitman’s Bodyguard,Action,20170818,52.0,30000000,21384504,75468583,172779292,0.7128168
The Dark Tower,Western,20170804,35.67,60000000,19153698,50701325,113018076,0.3192283
The Nut Job 2: Nutty by Nature,Adventure,20170811,34.0,40000000,8342311,28370522,58010968,0.208557775
Logan Lucky,Comedy,20170818,80.67,29000000,7600036,27778642,39212299,0.26207020689655175
Ballerina,Adventure,20170825,74.0,30000000,4730038,21858070,96923070,0.15766793333333334
All Saints,Drama,20170825,70.0,2000000,1514278,5802208,5941994,0.757139
Patti Cake$,Comedy,20170818,71.0,1000000,67599,800148,1471090,0.067599
Polina danser sa vie,Drama,20170825,0.0,4000000,12588,165203,212723,0.003147
It,Horror,20170908,76.33,35000000,123403419,327481748,697459228,3.5258119714285714
Kingsman: The Golden Circle,Action,20170922,55.0,104000000,39023010,100234838,408834838,0.37522125
The Lego Ninjago Movie,Adventure,20170922,56.33,70000000,20433071,59281555,122780244,0.2919010142857143
American Made,Thriller/Suspense,20170929,74.33,50000000,16776390,51342000,135581390,0.3355278
Home Again,Romantic Comedy,20170908,43.33,15000000,8567881,27020284,37337061,0.5711920666666667
Flatliners,Thriller/Suspense,20170929,56.33,20000000,6574326,16883115,45075341,0.3287163
Tulip Fever,Drama,20170901,36.33,25000000,1158017,2455635,3882453,0.04632068
Blade Runner 2049,Thriller/Suspense,20171006,83.33,185000000,32753122,92054159,259103376,0.1770439027027027
Happy Death Day,Thriller/Suspense,20171013,64.33,5000000,26039025,55683845,124967272,5.207805
Tyler Perry’s Boo 2! A Madea Halloween,Comedy,20171020,0.0,20000000,21226953,47319572,47879572,1.06134765
Jigsaw,Horror,20171027,44.0,10000000,16640452,38052832,102630330,1.6640452
Geostorm,Action,20171020,29.33,100000000,13707376,33700160,220800160,0.13707376
The Foreigner,Action,20171013,62.67,35000000,13113024,34393507,140788326,0.3746578285714286
Only the Brave,Drama,20171020,78.67,38000000,6002665,18340051,21049847,0.15796486842105262
Thank You for Your Service,Drama,20171027,70.0,20000000,3817700,9479390,9718331,0.190885
The Snowman,Thriller/Suspense,20171020,27.0,35000000,3372565,6670765,43232849,0.096359
Marshall,Drama,20171013,69.0,12000000,3000805,10051659,10111433,0.25006708333333333
Thor: Ragnarok,Action,20171103,82.0,180000000,122744989,315034967,850630090,0.6819166055555556
Justice League,Action,20171117,51.0,300000000,93842239,229007315,655936466,0.3128074633333333
Coco,Musical,20171122,87.67,175000000,50802605,208845284,739188107,0.2903006
Daddy’s Home 2,Comedy,20171110,36.33,70000000,29651193,104029443,176154137,0.4235884714285714
Murder on the Orient Express,Drama,20171110,58.67,55000000,28681472,102826543,349213586,0.5214813090909091
Wonder,Drama,20171117,77.0,20000000,27547866,132221523,295514690,1.3773933
A Bad Moms Christmas,Comedy,20171101,42.33,28000000,16759161,72110659,127710659,0.5985414642857143
The Star,Adventure,20171117,36.0,20000000,9812674,40847995,62005389,0.4906337
Lady Bird,Drama,20171103,89.67,10000000,364437,48701472,64901472,0.0364437
"Three Billboards Outside Ebbing, Miss…",Black Comedy,20171110,0.0,12000000,322168,53339205,142339205,0.026847333333333334
"Roman J. Israel, Esq.",Drama,20171117,57.67,22000000,61999,11962712,12039067,0.002818136363636364
Jumanji: Welcome to the Jungle,Adventure,20171220,68.67,90000000,36169328,397250265,934106524,0.40188142222222223
Ferdinand,Adventure,20171215,65.33,111000000,13401586,83362967,290151548,0.120735009009009
The Greatest Showman,Musical,20171220,60.67,84000000,8805843,167614558,388714558,0.10483146428571428
Downsizing,Comedy,20171222,57.0,68000000,4954287,24449754,39178452,0.07285716176470589
Father Figures,Comedy,20171222,31.0,25000000,3287451,17501244,20597799,0.13149804
Just Getting Started,Comedy,20171208,22.0,22000000,3201459,6069605,6709821,0.14552086363636363
The Post,Drama,20171222,81.33,50000000,526011,81159866,152400164,0.01052022
"I, Tonya",Black Comedy,20171208,81.0,11000000,264155,29509813,45709813,0.02401409090909091
The Shape of Water,Drama,20171201,85.33,19500000,166564,60940802,148340802,0.00854174358974359
Maze Runner: The Death Cure,Thriller/Suspense,20180126,54.33,61000000,24167011,57448833,283548833,0.3961805081967213
12 Strong,Drama,20180119,59.33,35000000,15815025,45304911,59282395,0.45185785714285714
Den of Thieves,Action,20180119,53.0,30000000,15206108,44863974,72363974,0.5068702666666667
Forever My Girl,Drama,20180119,39.33,3500000,4245630,16251220,16251220,1.213037142857143
Black Panther,Action,20180216,88.0,200000000,202003951,561697180,1078297180,1.010019755
Fifty Shades Freed,Drama,20180209,29.33,55000000,38560195,98382615,359382615,0.7010944545454545
Peter Rabbit,Adventure,20180209,57.0,50000000,25010928,93433524,119633524,0.50021856
Game Night,Comedy,20180223,74.0,37000000,17005332,45004023,69608622,0.4596035675675676
The 15:17 to Paris,Drama,20180209,40.0,30000000,12554286,35772875,53172875,0.4184762
Annihilation,Thriller/Suspense,20180223,81.67,55000000,11071584,26246833,26246833,0.20130152727272727
Winchester,Thriller/Suspense,20180202,32.0,3500000,9307626,24871652,38511652,2.6593217142857144
Early Man,Adventure,20180216,70.0,50000000,3190525,8030418,37017343,0.0638105
Bilal: A New Breed of Hero,Adventure,20180202,69.5,30000000,309951,490515,636684,0.0103317
A Wrinkle in Time,Adventure,20180309,57.0,103000000,33123609,33123609,39423609,0.3215884368932039
Red Sparrow,Thriller/Suspense,20180302,60.67,69000000,16853422,31471006,83271006,0.24425249275362318
Death Wish,Action,20180302,63.0,30000000,13010267,23856431,28306431,0.4336755666666667
The Hurricane Heist,Thriller/Suspense,20180309,,40000000,3024399,3024399,6184399,0.075609975
Sleepless,Thriller/Suspense,20170112,37.67,30000000,8344128,20783704,27224309,0.2781376
Raees,Action,20170125,68.5,9645980,1798379,2369469,5429008,0.1864381846116206
The Resurrection of Gavin Stone,Comedy,20170120,49.0,2000000,1206771,2303792,2303792,0.6033855
