title,genre,release,value,budget,opening,domestic,worldwide
Gong fu yu jia,Action,2017-01-27,0.0,65000000,111979,362657,254569616
A Cure for Wellness,Thriller/Suspense,2017-02-15,51.0,40000000,4356941,8106986,24499901
Todos Queremos a Alguien,Romantic Comedy,2017-02-10,0.0,2000000,924201,1915789,6491385
Jolly LLB 2,Black Comedy,2017-02-09,61.5,4480000,774355,1654254,25461514
I Am Not Your Negro,Documentary,2017-02-03,90.33,1000000,686378,7123919,7664759
Chapter & Verse,Drama,2017-02-08,79.67,40000000,32713,84147,84147
The Shack,Drama,2017-03-03,38.0,20000000,16172119,57386418,96938619
Before I Fall,Drama,2017-03-02,61.67,5000000,4690214,12241072,16170174
The Ottoman Lieutenant,Drama,2017-03-10,37.33,40000000,149830,240978,397852
Song to Song,Drama,2017-03-17,51.67,10000000,50559,443684,1041573
Raw,Horror,2017-03-10,80.33,3500000,24825,514870,3104666
Phoenix Forgotten,Thriller/Suspense,2017-04-21,43.0,2800000,1816499,3600146,3600146
Gifted,Drama,2017-04-12,69.67,7000000,446380,24801212,31681993
Their Finest,Romantic Comedy,2017-04-06,78.0,11795877,76197,3603484,12276852
Chuck,Action,2017-05-27,82.0,615,34565,322005,369123
Stalker,Drama,2017-05-15,90.5,1,20540,268101,285044
Cars 3,Adventure,2017-06-15,65.0,175000000,53688680,152901115,383601115
The Book of Henry,Drama,2017-06-16,38.67,10000000,1424540,4288104,4379905
The Beguiled,Western,2017-06-23,73.0,10500000,229292,10576669,28039038
The Bad Batch,Horror,2017-06-23,52.33,6000000,89111,180851,182226
Band Aid,Comedy,2017-06-02,73.33,10000000,29013,248370,248370
Detroit,Drama,2017-07-28,78.33,34000000,350190,16790139,21545532
Wolf Warrior 2,Action,2017-07-27,59.0,29700000,219022,2721100,861434171
A Ghost Story,Drama,2017-07-07,81.33,100000,104030,1594798,1939199
Kidnap,Thriller/Suspense,2017-08-04,47.0,21000000,10016323,30718107,32719421
Jab Harry Met Sejal,Romantic Comedy,2017-08-04,36.0,16600000,1284740,1284740,11176544
Toilet: Ek Prem Katha,Comedy,2017-08-11,75.0,3700000,709420,709420,20364534
Wind River,Thriller/Suspense,2017-08-03,79.33,11000000,161558,33800859,40352966
American Assassin,Thriller/Suspense,2017-09-14,47.0,33000000,14846778,36249674,58659727
mother!,Thriller/Suspense,2017-09-13,70.33,33000000,7534673,17800004,42558972
Stronger,Drama,2017-09-22,79.0,30000000,1611040,4211129,5003992
Judwaa 2,Action,2017-09-29,45.0,10000000,638045,1431255,26797432
Battle of the Sexes,Drama,2017-09-22,75.33,25000000,518332,12638526,17826663
Chasing the Dragon,Action,2017-09-28,70.0,200000000,138346,456854,86855981
The Mountain Between Us,Thriller/Suspense,2017-10-05,51.0,35000000,10551336,30348555,59721799
Suburbicon,Black Comedy,2017-10-26,48.5,10000000,2840246,5775178,10244113
Same Kind of Different as Me,Drama,2017-10-20,50.0,6500000,2591985,6423605,6423605
The Florida Project,Drama,2017-10-07,88.0,2000000,156833,5888312,8280740
Darkest Hour,Drama,2017-11-22,78.33,30000000,175006,56088295,142488295
Star Wars Ep. VIII: The Last Jedi,Action,2017-12-13,0.0,200000000,220009584,619483244,1321513738
Pitch Perfect 3,Comedy,2017-12-21,44.33,45000000,19928525,104897530,184554107
All the Money in the World,Thriller/Suspense,2017-12-21,73.67,50000000,5584684,25076269,53733187
Tiger Zinda Hai,Action,2017-12-18,65.5,15000000,1787108,5560921,76607340
