release,title,genre,budget,opening,domestic,worldwide
20170426,Bang! The Bert Berns Story,Documentary,0,3923,59300,59300
20170412,Slava,Drama,0,3716,19608,67856
20170407,A Kind of Loving,Drama,0,3278,3278,3278
20170414,Réparer les vivants,Drama,0,3176,3176,18554
20170414,Finding Oscar,Documentary,0,2365,23116,23116
20170421,7 Witches,Horror,0,1875,31100,31100
20170414,Pasqualino Settebellezze,Drama,0,1536,11962,11962
20170421,The Penguin Counters,Documentary,0,976,976,976
20170404,Ride the High Country,,0,0,0,0
20170404,Diamond Cartel,,0,0,0,0
20170418,A Cowgirl’s Story,,0,0,0,0
20170407,Aftermath,Thriller/Suspense,0,0,0,261465
20170404,Cooking at the World’s End,,0,0,0,0
20170411,Ludwig,,0,0,0,0
20170428,Grey Lady,Thriller/Suspense,0,0,0,0
20170411,Robot Wars,,0,0,0,0
20170411,Maiko: Dancing Child,Documentary,0,0,0,0
20170414,Little Boxes,Drama,0,0,0,0
20170418,Before the Flood,Documentary,0,0,0,0
20170414,Queen of the Desert,Drama,36000000,0,0,1480089
20170428,Voice From the Stone,Thriller/Suspense,0,0,0,40327
20170418,The Babushkas of Chernobyl,Documentary,0,0,0,0
20170425,After the Reality,Comedy,0,0,0,0
20170428,Black Rose,Action,0,0,0,0
20170411,Silver Skies,Comedy,0,0,0,0
20170414,The Outcasts,Comedy,0,0,0,24197
20170404,We Don’t Belong Here,Drama,0,0,0,0
20170407,Non Essere Cattivo,Thriller/Suspense,0,0,0,0
20170425,Papa’s Delicate Condition,,0,0,0,0
20170428,Displacement,Thriller/Suspense,0,0,0,0
20170404,BWOY,,0,0,0,0
20170407,Speech & Debate,Comedy,0,0,0,0
20170428,LoveTrue,Documentary,0,0,0,0
20170411,"Dear Diary, I Died",,0,0,0,0
20170421,Breakdance Academy,Comedy,0,0,0,0
20170404,Lucky’s Treasure,,0,0,0,0
20170404,Extraordinary: The Stan Romanek Story,,0,0,0,0
20170414,Maurizio Cattelan: Be Right Back,Documentary,0,0,0,0
20170411,Mad Families,,0,0,0,0
20170404,Teen Titans: The Judas Contract,Action,0,0,0,0
20170404,Naruto Shippuden: The Movie,,0,0,0,7947209
20170411,Chupacabra Territory,,0,0,0,0
20170420,Grow House,Comedy,0,0,0,0
20170407,1 Mile to You,Drama,0,0,0,0
20170414,Sandy Wexler,Comedy,0,0,0,0
20170407,The Ticket,Drama,0,0,0,0
20170418,Arctic Adventure: On Frozen Pond,,0,0,0,0
20170407,Salt And Fire,Thriller/Suspense,0,0,0,0
20170428,Harold and Lillian: A Hollywood Love …,Documentary,0,0,0,0
20170415,1040 Not so EZ,Drama,0,0,0,0
20170428,Rupture,Horror,0,0,0,997
20170428,Nise: O Coração da Loucura,Drama,0,0,0,0
20170411,The Sweet Life,Drama,0,0,0,6308
20170407,Bethany,Horror,0,0,0,14236
20170425,Caltiki il mostro immortale,,0,0,0,0
20170428,Danger Close,Documentary,0,0,0,0
20170425,Those Left Behind,,0,0,0,0
20170505,Guardians of the Galaxy Vol 2,Action,200000000,146510104,389813101,863197744
20170526,Pirates of the Caribbean: Dead Men Te…,Adventure,230000000,62983253,172558876,794758876
20170519,Alien: Covenant,Horror,97000000,36160621,74262031,238862031
20170512,Snatched,Comedy,42000000,19542248,45852178,57852177
20170525,Baywatch,Comedy,60000000,18503871,58060186,176533570
20170512,King Arthur: Legend of the Sword,Adventure,175000000,15371270,39175066,140012608
20170519,"Everything, Everything",Drama,10000000,11727390,34121140,45858330
20170519,Diary of a Wimpy Kid: The Long Haul,Adventure,22000000,7126084,20738724,35355942
20170512,Lowriders,Drama,0,2403885,6179955,6188421
20170512,The Wall,Thriller/Suspense,0,897955,1803064,2428959
20170505,The Dinner,Drama,0,653944,1323312,2474524
20170505,This Is Not What I Expected,Comedy,0,135252,337670,29957670
20170512,Paris Can Wait,Romantic Comedy,0,98850,5608745,8927441
20170505,Risk,Documentary,0,76327,200219,219599
20170505,The Lovers,Romantic Comedy,0,66286,2194521,2216374
20170526,Buena Vista Social Club—Adios,Documentary,0,64469,123445,157187
20170526,Long Strange Trip: The Untold Story o…,Documentary,0,43478,351957,351957
20170505,Chuck,Action,0,34565,322005,369123
20170512,Laavor et hakir,Action,0,31658,1412404,1522676
20170505,Stalker,Drama,0,20540,268101,285044
20170523,Restless Creature: Wendy Whelan,Documentary,0,19879,147780,147780
20170505,Three Generations,Drama,0,18131,155936,421372
20170526,Hermia & Helena,Comedy,0,16759,43132,43132
20170519,Abacus: Small Enough to Jail,Documentary,0,12528,113279,113279
20170512,Stefan Zweig: Farewell to Europe,Drama,0,11729,78373,636475
20170505,Une Vie,Drama,0,11483,37626,200663
20170519,Wakefield,Drama,0,11299,262599,747047
20170510,Manifesto,Drama,0,9628,161101,344353
20170519,Kollektivet,Drama,0,9249,38737,644008
20170512,Dead Awake,Horror,0,8834,11528,24137
20170512,The Last Shaman,Documentary,0,6799,17744,17744
20170519,Powidoki,Drama,0,5832,33443,53240
20170505,La Pazza Gioia,Comedy,0,5799,107362,7857426
20170519,Icaros: A Vision,Drama,0,5510,5510,5510
20170505,Burden,Documentary,0,3231,18440,20434
20170503,Mr. Chibbs,Documentary,0,3163,8303,8303
20170502,Take Me,Comedy,0,2583,2583,2583
20170519,Ang Babaeng Humayo,Drama,0,2018,3906,3906
20170519,Pi Sheng Shang de Hun,Drama,0,1355,3669,3669
20170531,Julian Schnabel: A Private Portrait,Documentary,0,394,8679,8679
20170526,Black Butterfly,Thriller/Suspense,0,0,0,345093
20170509,On a failli être amies,,0,0,0,0
20170509,"Love, Again",,0,0,0,13841
20170510,The Drowning,Thriller/Suspense,0,0,0,0
20170505,Berlin Syndrome,Thriller/Suspense,0,0,28660,397788
20170502,Kidnap Capital,,0,0,0,0
20170519,Elián,Documentary,0,0,0,0
20170519,Paint it Black,Drama,0,0,0,0
20170505,Another Evil,Comedy,0,0,0,0
20170512,Absolutely Anything,Comedy,0,0,0,7200039
20170505,Tomorrow Ever After,Comedy,0,0,0,0
20170516,Killswitch,Documentary,0,0,0,0
20170505,Chai dàn zhuanjia,Action,23000000,0,0,58807172
20170505,Lady Bloodfight,Action,0,0,0,0
20170516,Ohayo,,0,0,0,0
20170530,Golden Years,Comedy,0,0,0,302664
20170502,Occupants,Horror,0,0,0,0
20170523,Vixen: The Movie,,0,0,0,0
20170523,In Our Hands: The Battle for Jerusalem,Documentary,0,0,0,0
20170509,DC Super Hero Girls: Intergalactic Games,Adventure,0,0,0,0
20170530,A Wound in Time,Thriller/Suspense,0,0,0,0
20170531,The Rush Chairman,Comedy,0,0,0,0
20170505,Sacred,Documentary,0,0,0,0
20170502,Unleashing Mr. Darcy,,0,0,0,0
20170526,The Helsings,Drama,0,0,478,478
20170502,Ozzy,Adventure,0,0,0,7466050
20170509,VHS Massacre: Cult Films and the Decl…,Documentary,0,0,0,0
20170509,Streets of Hope,,0,0,0,0
20170509,Millie & the Lords,,0,0,0,0
20170523,I am Heath Ledger,Documentary,0,0,0,495980
20170512,Meri Pyaari Bindu,Comedy,0,0,0,12498298
20170516,A Mermaid’s Tale,Adventure,0,0,0,0
20170516,The Gospel of Mark,Drama,0,0,0,0
20170512,Urban Hymn,Drama,0,0,0,1118
20170512,Generation Iron 2,Documentary,0,0,0,0
20170526,Spirit Game: Pride of a Nation,Documentary,0,0,0,0
20170516,American Wrestler: The Wizard,Drama,0,0,0,0
20170526,Cruel and Unusual,Documentary,0,0,0,0
20170512,Folk Hero & Funny Guy,Comedy,0,0,0,0
20170502,The Shadow Effect,Action,0,0,0,30184
20170523,Unwanted Guest,,0,0,0,0
20170530,Angst,Documentary,0,0,0,0
20170503,Last Men in Aleppo,Documentary,0,0,0,0
20170530,Pleins feux sur l’assassin,,0,0,0,0
20170502,"Fear, Inc.",,0,0,0,0
20170509,The Indian Fighter,Western,0,0,0,0
20170502,MindGamers,Thriller/Suspense,0,0,0,0
20170523,Family Mission: The T.J. Lobraico Story,Documentary,0,0,0,0
20170509,Alena,Horror,0,0,0,0
20170509,Perfect Match,,0,0,0,0
20170502,Sweet Home Carolina,,0,0,0,0
20170512,Whisky Galore,Romantic Comedy,0,0,21551,659871
20170509,"Indio Black, sai che ti dico: Sei un …",Western,0,0,0,0
20170516,Extortion,Action,0,0,0,8602
20170519,Legion of Brothers,Drama,0,0,0,0
20170519,Radio Dreams,Comedy,0,0,27836,27836
20170519,The Survivalist,Thriller/Suspense,0,0,0,33973
20170502,Seven Days in May,,0,0,0,0
20170512,Violet,Action,0,0,0,0
